"id","hexID","X63","X64","X65","X66","X67","X68","X69","X71","X72","rel_63","rel_64","rel_65","rel_66","rel_67","rel_68","rel_69","rel_71","rel_72","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID2","ID2",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"69",1,"schwatzen / schwätzen"
"ID3","ID3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID4","ID4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID5","ID5",5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"63",1,"quatschen"
"ID6","ID6",6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"69",1,"schwatzen / schwätzen"
"ID7","ID7",7,0,1,0,2,0,0,1,0,1,0,0.2,0,0.4,0,0,0.2,0,0.2,0.4,2,"66",5,"plaudern"
"ID8","ID8",8,3,2,2,0,1,0,1,0,5,0.214285714285714,0.142857142857143,0.142857142857143,0,0.0714285714285714,0,0.0714285714285714,0,0.357142857142857,0.357142857142857,5,"72",14,"Sonstiges"
"ID9","ID9",9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"69",1,"schwatzen / schwätzen"
"ID10","ID10",10,5,0,1,3,0,0,0,0,0,0.555555555555556,0,0.111111111111111,0.333333333333333,0,0,0,0,0,0.555555555555556,5,"63",9,"quatschen"
"ID11","ID11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID12","ID12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID13","ID13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID14","ID14",14,0,0,1,0,0,0,1,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,1,"65",2,"tratschen"
"ID15","ID15",15,0,0,1,0,0,0,1,0,1,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,1,"65",3,"tratschen"
"ID16","ID16",16,2,1,1,1,0,0,2,0,9,0.125,0.0625,0.0625,0.0625,0,0,0.125,0,0.5625,0.5625,9,"72",16,"Sonstiges"
"ID17","ID17",17,0,5,2,0,0,0,6,0,11,0,0.208333333333333,0.0833333333333333,0,0,0,0.25,0,0.458333333333333,0.458333333333333,11,"72",24,"Sonstiges"
"ID18","ID18",18,1,0,0,1,0,0,1,0,1,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,1,"63",4,"quatschen"
"ID19","ID19",19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"69",1,"schwatzen / schwätzen"
"ID20","ID20",20,1,0,0,1,0,0,2,1,0,0.2,0,0,0.2,0,0,0.4,0.2,0,0.4,2,"69",5,"schwatzen / schwätzen"
"ID21","ID21",21,3,1,0,0,1,0,1,0,0,0.5,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0,0,0.5,3,"63",6,"quatschen"
"ID22","ID22",22,1,0,0,1,0,0,1,0,2,0.2,0,0,0.2,0,0,0.2,0,0.4,0.4,2,"72",5,"Sonstiges"
"ID23","ID23",23,3,0,0,0,0,1,0,0,0,0.75,0,0,0,0,0.25,0,0,0,0.75,3,"63",4,"quatschen"
"ID24","ID24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID25","ID25",25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"63",1,"quatschen"
"ID26","ID26",26,1,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,1,"63",2,"quatschen"
"ID27","ID27",27,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"65",1,"tratschen"
"ID28","ID28",28,1,0,2,0,0,0,2,1,2,0.125,0,0.25,0,0,0,0.25,0.125,0.25,0.25,2,"65",8,"tratschen"
"ID29","ID29",29,3,10,7,5,0,0,8,0,22,0.0545454545454545,0.181818181818182,0.127272727272727,0.0909090909090909,0,0,0.145454545454545,0,0.4,0.4,22,"72",55,"Sonstiges"
"ID30","ID30",30,10,29,19,4,1,0,10,1,44,0.0847457627118644,0.245762711864407,0.161016949152542,0.0338983050847458,0.00847457627118644,0,0.0847457627118644,0.00847457627118644,0.372881355932203,0.372881355932203,44,"72",118,"Sonstiges"
"ID31","ID31",31,14,20,14,9,2,0,11,0,38,0.12962962962963,0.185185185185185,0.12962962962963,0.0833333333333333,0.0185185185185185,0,0.101851851851852,0,0.351851851851852,0.351851851851852,38,"72",108,"Sonstiges"
"ID32","ID32",32,0,0,2,1,0,0,2,0,5,0,0,0.2,0.1,0,0,0.2,0,0.5,0.5,5,"72",10,"Sonstiges"
"ID33","ID33",33,1,0,0,1,0,0,1,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,1,"63",3,"quatschen"
"ID34","ID34",34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"64",1,"ratschen"
"ID35","ID35",35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,"72",1,"Sonstiges"
"ID36","ID36",36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"65",1,"tratschen"
"ID37","ID37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID38","ID38",38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"63",1,"quatschen"
"ID39","ID39",39,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,1,"63",2,"quatschen"
"ID40","ID40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID41","ID41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID42","ID42",42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"69",1,"schwatzen / schwätzen"
"ID43","ID43",43,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"66",1,"plaudern"
"ID44","ID44",44,0,0,0,2,0,0,2,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,2,"66",4,"plaudern"
"ID45","ID45",45,3,0,0,1,0,0,1,0,0,0.6,0,0,0.2,0,0,0.2,0,0,0.6,3,"63",5,"quatschen"
"ID46","ID46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID47","ID47",47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"69",1,"schwatzen / schwätzen"
"ID48","ID48",48,2,0,4,2,0,0,13,0,6,0.0740740740740741,0,0.148148148148148,0.0740740740740741,0,0,0.481481481481481,0,0.222222222222222,0.481481481481481,13,"69",27,"schwatzen / schwätzen"
"ID49","ID49",49,2,0,0,4,0,0,2,0,5,0.153846153846154,0,0,0.307692307692308,0,0,0.153846153846154,0,0.384615384615385,0.384615384615385,5,"72",13,"Sonstiges"
"ID50","ID50",50,2,2,6,2,0,0,2,0,7,0.0952380952380952,0.0952380952380952,0.285714285714286,0.0952380952380952,0,0,0.0952380952380952,0,0.333333333333333,0.333333333333333,7,"72",21,"Sonstiges"
"ID51","ID51",51,3,3,1,1,1,0,4,0,3,0.1875,0.1875,0.0625,0.0625,0.0625,0,0.25,0,0.1875,0.25,4,"69",16,"schwatzen / schwätzen"
"ID52","ID52",52,1,2,2,0,0,0,1,1,5,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,0,0.0833333333333333,0.0833333333333333,0.416666666666667,0.416666666666667,5,"72",12,"Sonstiges"
"ID53","ID53",53,3,2,1,0,0,0,2,0,11,0.157894736842105,0.105263157894737,0.0526315789473684,0,0,0,0.105263157894737,0,0.578947368421053,0.578947368421053,11,"72",19,"Sonstiges"
"ID54","ID54",54,0,2,1,0,0,0,2,0,6,0,0.181818181818182,0.0909090909090909,0,0,0,0.181818181818182,0,0.545454545454545,0.545454545454545,6,"72",11,"Sonstiges"
"ID55","ID55",55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"69",1,"schwatzen / schwätzen"
"ID56","ID56",56,0,1,0,0,0,0,1,0,1,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,1,"64",3,"ratschen"
"ID57","ID57",57,0,3,0,1,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0.75,3,"64",4,"ratschen"
"ID58","ID58",58,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"64",1,"ratschen"
"ID59","ID59",59,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"63",1,"quatschen"
"ID60","ID60",60,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,1,"63",2,"quatschen"
"ID61","ID61",61,2,0,1,6,0,0,7,0,2,0.111111111111111,0,0.0555555555555556,0.333333333333333,0,0,0.388888888888889,0,0.111111111111111,0.388888888888889,7,"69",18,"schwatzen / schwätzen"
"ID62","ID62",62,4,0,2,2,0,1,8,0,0,0.235294117647059,0,0.117647058823529,0.117647058823529,0,0.0588235294117647,0.470588235294118,0,0,0.470588235294118,8,"69",17,"schwatzen / schwätzen"
"ID63","ID63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID64","ID64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID65","ID65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID66","ID66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID67","ID67",67,4,16,10,1,1,0,0,0,0,0.125,0.5,0.3125,0.03125,0.03125,0,0,0,0,0.5,16,"64",32,"ratschen"
"ID68","ID68",68,4,9,1,1,0,0,1,0,0,0.25,0.5625,0.0625,0.0625,0,0,0.0625,0,0,0.5625,9,"64",16,"ratschen"
"ID69","ID69",69,4,13,5,0,0,0,1,0,0,0.173913043478261,0.565217391304348,0.217391304347826,0,0,0,0.0434782608695652,0,0,0.565217391304348,13,"64",23,"ratschen"
"ID70","ID70",70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,"72",1,"Sonstiges"
"ID71","ID71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID72","ID72",72,2,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0.25,0.25,0,0.5,2,"63",4,"quatschen"
"ID73","ID73",73,1,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,1,"63",2,"quatschen"
"ID74","ID74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID75","ID75",75,2,0,0,1,0,0,1,0,0,0.5,0,0,0.25,0,0,0.25,0,0,0.5,2,"63",4,"quatschen"
"ID76","ID76",76,1,0,0,0,0,0,4,0,0,0.2,0,0,0,0,0,0.8,0,0,0.8,4,"69",5,"schwatzen / schwätzen"
"ID77","ID77",77,0,1,2,3,0,0,3,0,8,0,0.0588235294117647,0.117647058823529,0.176470588235294,0,0,0.176470588235294,0,0.470588235294118,0.470588235294118,8,"72",17,"Sonstiges"
"ID78","ID78",78,1,1,3,5,0,0,3,1,1,0.0666666666666667,0.0666666666666667,0.2,0.333333333333333,0,0,0.2,0.0666666666666667,0.0666666666666667,0.333333333333333,5,"66",15,"plaudern"
"ID79","ID79",79,8,0,11,18,1,0,17,0,21,0.105263157894737,0,0.144736842105263,0.236842105263158,0.0131578947368421,0,0.223684210526316,0,0.276315789473684,0.276315789473684,21,"72",76,"Sonstiges"
