"id","hexID","X160","X161","X162","X163","X164","X165","X167","X168","X170","X172","X173","X9999","rel_160","rel_161","rel_162","rel_163","rel_164","rel_165","rel_167","rel_168","rel_170","rel_172","rel_173","rel_9999","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID2","ID2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID3","ID3",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"162",1,"Kartoffelpüree"
"ID4","ID4",4,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0.833333333333333,0,0,0,0.833333333333333,5,"170",6,"Erdäpfelstock/Herdäpfelstock"
"ID5","ID5",5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,1,"170",2,"Erdäpfelstock/Herdäpfelstock"
"ID6","ID6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID7","ID7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID8","ID8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID9","ID9",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"9999",1,NA
"ID10","ID10",10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,"170",5,"Erdäpfelstock/Herdäpfelstock"
