"id","hexID","X22","X24","X25","X26","X27","X28","X29","X30","X32","X33","rel_22","rel_24","rel_25","rel_26","rel_27","rel_28","rel_29","rel_30","rel_32","rel_33","relMax","absMax","maxLevel","total","antwort"
"ID36","ID36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID37","ID37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID38","ID38",38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"27",1,"die Om(e)lette"
"ID39","ID39",39,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,"22",2,"Pfannkuche(n) / Pfanne(n)kuche(n)"
"ID40","ID40",40,3,0,0,0,0,0,0,0,1,0,0.75,0,0,0,0,0,0,0,0.25,0,0.75,3,"22",4,"Pfannkuche(n) / Pfanne(n)kuche(n)"
"ID41","ID41",41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,"32",1,"Crêpe"
"ID42","ID42",42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"27",1,"die Om(e)lette"
"ID43","ID43",43,0,0,0,1,17,0,1,0,4,0,0,0,0,0.0434782608695652,0.739130434782609,0,0.0434782608695652,0,0.173913043478261,0,0.739130434782609,17,"27",23,"die Om(e)lette"
"ID44","ID44",44,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0.909090909090909,0,0,0,0.0909090909090909,0,0.909090909090909,10,"27",11,"die Om(e)lette"
"ID45","ID45",45,1,0,0,5,12,0,0,0,1,0,0.0526315789473684,0,0,0.263157894736842,0.631578947368421,0,0,0,0.0526315789473684,0,0.631578947368421,12,"27",19,"die Om(e)lette"
"ID46","ID46",46,1,0,0,9,2,2,0,0,3,0,0.0588235294117647,0,0,0.529411764705882,0.117647058823529,0.117647058823529,0,0,0.176470588235294,0,0.529411764705882,9,"26",17,"das Om(e)lett"
"ID47","ID47",47,0,0,1,10,2,0,0,1,4,0,0,0,0.0555555555555556,0.555555555555556,0.111111111111111,0,0,0.0555555555555556,0.222222222222222,0,0.555555555555556,10,"26",18,"das Om(e)lett"
"ID48","ID48",48,1,0,0,12,4,0,0,0,5,0,0.0454545454545455,0,0,0.545454545454545,0.181818181818182,0,0,0,0.227272727272727,0,0.545454545454545,12,"26",22,"das Om(e)lett"
"ID49","ID49",49,1,0,0,6,2,0,0,0,0,0,0.111111111111111,0,0,0.666666666666667,0.222222222222222,0,0,0,0,0,0.666666666666667,6,"26",9,"das Om(e)lett"
"ID50","ID50",50,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"26",1,"das Om(e)lett"
"ID51","ID51",51,1,0,0,1,1,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0.333333333333333,1,"22",3,"Pfannkuche(n) / Pfanne(n)kuche(n)"
"ID52","ID52",52,1,0,0,0,1,0,0,0,1,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333,1,"22",3,"Pfannkuche(n) / Pfanne(n)kuche(n)"
"ID53","ID53",53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,1,"27",2,"die Om(e)lette"
"ID54","ID54",54,0,1,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,1,"24",2,"Pannekuche(n)"
"ID55","ID55",55,1,0,0,2,3,0,0,0,2,0,0.125,0,0,0.25,0.375,0,0,0,0.25,0,0.375,3,"27",8,"die Om(e)lette"
"ID56","ID56",56,1,0,1,6,6,0,0,0,2,0,0.0625,0,0.0625,0.375,0.375,0,0,0,0.125,0,0.375,6,"26",16,"das Om(e)lett"
"ID57","ID57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID58","ID58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID59","ID59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID60","ID60",60,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0.8,0.2,0,0,0.8,16,"29",20,"die Palatschinke"
"ID61","ID61",61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"27",1,"die Om(e)lette"
"ID62","ID62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID63","ID63",63,1,1,0,0,0,0,0,0,3,0,0.2,0.2,0,0,0,0,0,0,0.6,0,0.6,3,"32",5,"Crêpe"
"ID64","ID64",64,1,0,0,0,0,0,0,0,2,0,0.333333333333333,0,0,0,0,0,0,0,0.666666666666667,0,0.666666666666667,2,"32",3,"Crêpe"
"ID65","ID65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID66","ID66",66,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,1,"27",2,"die Om(e)lette"
"ID67","ID67",67,0,1,0,1,1,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0.333333333333333,1,"24",3,"Pannekuche(n)"
