"id","hexID","X152","X153","X154","X155","X156","X157","rel_152","rel_153","rel_154","rel_155","rel_156","rel_157","relMax","absMax","maxLevel","total","antwort"
"ID48","ID48",48,9,0,0,0,0,4,0.692307692307692,0,0,0,0,0.307692307692308,0.692307692307692,9,"152",13,"Portemonnaie/Portmonee"
"ID49","ID49",49,14,0,0,0,0,6,0.7,0,0,0,0,0.3,0.7,14,"152",20,"Portemonnaie/Portmonee"
"ID50","ID50",50,6,1,0,0,0,5,0.5,0.0833333333333333,0,0,0,0.416666666666667,0.5,6,"152",12,"Portemonnaie/Portmonee"
"ID51","ID51",51,6,0,0,1,0,12,0.315789473684211,0,0,0.0526315789473684,0,0.631578947368421,0.631578947368421,12,"157",19,"Geldsack/Geldsäckel"
"ID52","ID52",52,3,1,0,0,0,16,0.15,0.05,0,0,0,0.8,0.8,16,"157",20,"Geldsack/Geldsäckel"
"ID53","ID53",53,5,0,0,0,0,5,0.5,0,0,0,0,0.5,0.5,5,"152",10,"Portemonnaie/Portmonee"
"ID54","ID54",54,1,0,0,0,0,0,1,0,0,0,0,0,1,1,"152",1,"Portemonnaie/Portmonee"
"ID55","ID55",55,2,1,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0.666666666666667,2,"152",3,"Portemonnaie/Portmonee"
"ID56","ID56",56,1,3,0,0,0,0,0.25,0.75,0,0,0,0,0.75,3,"153",4,"Geldbeutel"
"ID57","ID57",57,0,0,1,1,0,0,0,0,0.5,0.5,0,0,0.5,1,"154",2,"Geldtasche/-tasch(er)l"
"ID58","ID58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID59","ID59",59,1,0,0,0,1,0,0.5,0,0,0,0.5,0,0.5,1,"152",2,"Portemonnaie/Portmonee"
"ID60","ID60",60,6,1,0,0,0,0,0.857142857142857,0.142857142857143,0,0,0,0,0.857142857142857,6,"152",7,"Portemonnaie/Portmonee"
"ID61","ID61",61,26,0,0,0,0,0,1,0,0,0,0,0,1,26,"152",26,"Portemonnaie/Portmonee"
"ID62","ID62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID63","ID63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID64","ID64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID65","ID65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID66","ID66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID67","ID67",67,0,0,2,1,14,0,0,0,0.117647058823529,0.0588235294117647,0.823529411764706,0,0.823529411764706,14,"156",17,"Brieftasche/Briaftoschn"
"ID68","ID68",68,0,0,2,0,16,0,0,0,0.111111111111111,0,0.888888888888889,0,0.888888888888889,16,"156",18,"Brieftasche/Briaftoschn"
"ID69","ID69",69,0,0,7,0,11,0,0,0,0.388888888888889,0,0.611111111111111,0,0.611111111111111,11,"156",18,"Brieftasche/Briaftoschn"
"ID70","ID70",70,1,0,0,0,0,0,1,0,0,0,0,0,1,1,"152",1,"Portemonnaie/Portmonee"
"ID71","ID71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID72","ID72",72,4,0,0,0,0,0,1,0,0,0,0,0,1,4,"152",4,"Portemonnaie/Portmonee"
"ID73","ID73",73,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0.5,1,"152",2,"Portemonnaie/Portmonee"
"ID74","ID74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID75","ID75",75,2,0,0,0,0,0,1,0,0,0,0,0,1,2,"152",2,"Portemonnaie/Portmonee"
"ID76","ID76",76,1,0,0,0,1,1,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"152",3,"Portemonnaie/Portmonee"
"ID77","ID77",77,9,0,0,0,0,10,0.473684210526316,0,0,0,0,0.526315789473684,0.526315789473684,10,"157",19,"Geldsack/Geldsäckel"
"ID78","ID78",78,11,1,0,0,0,3,0.733333333333333,0.0666666666666667,0,0,0,0.2,0.733333333333333,11,"152",15,"Portemonnaie/Portmonee"
"ID79","ID79",79,60,0,0,0,1,10,0.845070422535211,0,0,0,0.0140845070422535,0.140845070422535,0.845070422535211,60,"152",71,"Portemonnaie/Portmonee"
"ID80","ID80",80,44,2,0,0,0,4,0.88,0.04,0,0,0,0.08,0.88,44,"152",50,"Portemonnaie/Portmonee"
"ID81","ID81",81,11,0,0,0,0,4,0.733333333333333,0,0,0,0,0.266666666666667,0.733333333333333,11,"152",15,"Portemonnaie/Portmonee"
"ID82","ID82",82,8,0,1,1,0,1,0.727272727272727,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.727272727272727,8,"152",11,"Portemonnaie/Portmonee"
"ID83","ID83",83,4,0,0,0,0,2,0.666666666666667,0,0,0,0,0.333333333333333,0.666666666666667,4,"152",6,"Portemonnaie/Portmonee"
"ID84","ID84",84,6,0,0,0,0,0,1,0,0,0,0,0,1,6,"152",6,"Portemonnaie/Portmonee"
