"id","hexID","X97","X98","X99","X100","X101","X102","X103","X104","X106","X107","rel_97","rel_98","rel_99","rel_100","rel_101","rel_102","rel_103","rel_104","rel_106","rel_107","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID2","ID2",2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"98",1,"Schleuder"
"ID3","ID3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID4","ID4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID5","ID5",5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"98",1,"Schleuder"
"ID6","ID6",6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"98",1,"Schleuder"
"ID7","ID7",7,7,4,0,0,0,0,1,0,0,1,0.538461538461538,0.307692307692308,0,0,0,0,0.0769230769230769,0,0,0.0769230769230769,0.538461538461538,7,"97",13,"Steinschleuder/Stanschleuder"
"ID8","ID8",8,10,3,0,0,0,0,0,1,0,1,0.666666666666667,0.2,0,0,0,0,0,0.0666666666666667,0,0.0666666666666667,0.666666666666667,10,"97",15,"Steinschleuder/Stanschleuder"
"ID9","ID9",9,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,1,"98",2,"Schleuder"
"ID10","ID10",10,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1,"97",2,"Steinschleuder/Stanschleuder"
"ID11","ID11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID12","ID12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID13","ID13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID14","ID14",14,0,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,1,"98",2,"Schleuder"
"ID15","ID15",15,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,"98",3,"Schleuder"
"ID16","ID16",16,2,4,0,0,0,0,0,0,0,1,0.285714285714286,0.571428571428571,0,0,0,0,0,0,0,0.142857142857143,0.571428571428571,4,"98",7,"Schleuder"
