"id","hexID","X121","X122","X123","X124","X125","X127","X128","X129","X130","X131","X134","X135","X136","X139","X140","X141","X142","X143","X144","X9999","rel_121","rel_122","rel_123","rel_124","rel_125","rel_127","rel_128","rel_129","rel_130","rel_131","rel_134","rel_135","rel_136","rel_139","rel_140","rel_141","rel_142","rel_143","rel_144","rel_9999","relMax","absMax","maxLevel","total","antwort"
"ID23","ID23",23,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,1,"128",3,NA
"ID24","ID24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID25","ID25",25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"122",1,"Schlucken"
"ID26","ID26",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,"144",2,"Gluggsi"
"ID27","ID27",27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"130",1,"Higgis / Hicki / Higgi"
"ID28","ID28",28,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0.125,0,0,0,0,0,0,0,0.625,0,0.125,0,0,0,0,0,0,0,0.125,0,0.625,5,"130",8,"Higgis / Hicki / Higgi"
"ID29","ID29",29,0,0,0,0,1,4,0,2,31,0,12,0,0,0,0,0,0,0,4,1,0,0,0,0,0.0181818181818182,0.0727272727272727,0,0.0363636363636364,0.563636363636364,0,0.218181818181818,0,0,0,0,0,0,0,0.0727272727272727,0.0181818181818182,0.563636363636364,31,"130",55,"Higgis / Hicki / Higgi"
"ID30","ID30",30,1,0,0,0,1,2,0,1,72,0,34,1,0,0,0,0,0,0,3,1,0.00862068965517241,0,0,0,0.00862068965517241,0.0172413793103448,0,0.00862068965517241,0.620689655172414,0,0.293103448275862,0.00862068965517241,0,0,0,0,0,0,0.0258620689655172,0.00862068965517241,0.620689655172414,72,"130",116,"Higgis / Hicki / Higgi"
"ID31","ID31",31,0,0,0,0,0,2,0,1,70,0,36,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.018018018018018,0,0.00900900900900901,0.630630630630631,0,0.324324324324324,0,0,0,0,0,0,0,0.018018018018018,0,0.630630630630631,70,"130",111,"Higgis / Hicki / Higgi"
"ID32","ID32",32,1,0,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0.111111111111111,0,0,0.444444444444444,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.444444444444444,4,"130",9,"Higgis / Hicki / Higgi"
